null_iteration,horizon,return_specification,peer_definition,outcome,statistic,sample_size,detected_event_count
20,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0009140553267591087,131,214
20,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.00021852516985743808,131,214
20,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0006955301569016705,131,214
20,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0032935065778890646,99,214
20,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0008667841670114397,99,214
20,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0041602907449005055,99,214
20,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.014333398735413932,38,214
20,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.004756400650757847,38,214
20,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.009576998084656086,38,214
21,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0007736354176828063,178,222
21,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.00011442945264379218,178,222
21,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0008880648703265978,178,222
21,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.002343868665625148,117,222
21,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0007733069642074876,117,222
21,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0015705617014176603,117,222
21,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.005832985182821208,91,222
21,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0017025752680392653,91,222
21,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.004130409914781944,91,222
21,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.011426956642694419,24,222
21,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.006151681860678444,24,222
21,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.005275274782015976,24,222
22,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0006486931145147088,158,206
22,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00016488428652618048,158,206
22,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.00048380882798852807,158,206
22,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0017554009290135727,100,206
22,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.002818403048181012,100,206
22,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.004573803977194585,100,206
22,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0003598390978906472,75,206
22,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0015945242358429426,75,206
22,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0019543633337335896,75,206
22,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0008368842697503989,26,206
22,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0035150740212106565,26,206
22,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.004351958290961055,26,206
23,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0008348851587064185,181,221
23,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,3.771097508852209e-05,181,221
23,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0008725961337949403,181,221
23,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0006054147524778086,127,221
23,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00038695872323746744,127,221
