variation_type,specification,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label,status,notes
universe,core,10,initiator_reversal,114,114,-0.004122657848371359,-0.0057500675736210025,-0.01561561149227675,0.007370295795534032,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,20,convergence,30,30,0.005218087314219023,0.02500310095583569,-0.04277756447585767,0.053213739104295714,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,20,peer_catchup,30,30,-0.013312708568917725,-0.010084088712109774,-0.03701126052197665,0.010385843384141197,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core,20,initiator_reversal,30,30,0.018530795883136744,0.034352426177868545,-0.016182001460500136,0.05324359322677362,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,1,convergence,416,416,0.005826384437432038,0.005073306355974015,0.0020976041350873886,0.009555164739776687,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,1,peer_catchup,416,416,0.0005681921364517761,0.0010588766072748448,-0.0009543570650481554,0.0020907413379517075,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,1,initiator_reversal,416,416,0.005258192300980262,0.004493574076710638,0.0018430719867551949,0.008673312615205328,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,3,convergence,353,353,0.009129089747302588,0.008958409291884146,0.004007118583900996,0.01425106091070418,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,3,peer_catchup,353,353,0.001611220874849117,0.001741882256438355,-0.00041995374033937144,0.0036423954900376056,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,3,initiator_reversal,353,353,0.00751786887245347,0.006743474148105479,0.00264644189776609,0.01238929584714085,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,5,convergence,309,309,0.01208733760369575,0.01123554840208272,0.005651050116362442,0.018523625091029058,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,5,peer_catchup,309,309,0.0019030380018246363,0.0024004393213751174,-0.0008536418485873014,0.004659717852236574,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,5,initiator_reversal,309,309,0.010184299601871115,0.00811864632022155,0.004246855017744878,0.01612174418599735,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,10,convergence,174,174,0.0032544209291188553,0.005983051684231392,-0.008552561817737253,0.015061403675974964,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,10,peer_catchup,174,174,0.0048945497242173655,0.007562517376130255,-0.0003076021867187591,0.01009670163515349,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,10,initiator_reversal,174,174,-0.0016401287950985075,-0.004385429702458474,-0.012077611218889263,0.008797353628692248,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,20,convergence,48,48,0.023440329627471754,0.020331623543387273,-0.010734443657363296,0.0576151029123068,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,20,peer_catchup,48,48,0.0038113829348658916,0.008274989235665433,-0.010885498465478025,0.018508264335209808,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,core_plus_extension,20,initiator_reversal,48,48,0.019628946692605866,0.018984990359980775,-0.008887165733001797,0.048145059118213526,adequate_descriptive_sample,estimated_exploratory,uses point-in-time Stage 11D eligibility flags
universe,excluding_questionable,1,convergence,226,226,0.0053963111301805365,0.002442522587469475,0.0001672700765492762,0.010625352183811797,adequate_descriptive_sample,estimated_exploratory,identical to core: reviewed universe contains zero questionable securities
universe,excluding_questionable,1,peer_catchup,226,226,0.0026150612839820784,0.000272013731849055,0.0001812533690753169,0.00504886919888884,adequate_descriptive_sample,estimated_exploratory,identical to core: reviewed universe contains zero questionable securities
